### 8.1 Text and coding — MLX-LM

`Architecture` means the native structure and synthetic tests pass. It does not
claim checkpoint, hardware, performance, or quality qualification.

| Wave | Publisher | Model family / eligible variants | Approx. advertised size | Intended tests | Architecture | Qualification |
|---|---|---|---|---|---|---|
| A | Alibaba/Qwen | Qwen2.5 0.5B, 1.5B, 3B | <=3B class | SFT, LoRA, QLoRA, parity | ✅ | Existing calibration family |
| A | Alibaba/Qwen | Qwen2.5-Coder 0.5B, 1.5B, 3B | <=3B class | Coding SFT and evaluation | ✅ | Candidate |
| A | Alibaba/Qwen | Qwen3 0.6B, 1.7B | <=3B | Reasoning, tool use, chat templates | ✅ | Candidate |
| A | Meta | Llama 3.2 1B, 3B | 1B/3B class | SFT and adapter export | ☐ | Candidate |
| A | Google | Gemma 3 270M, 1B | <=1B class | SFT, small-model memory | ☐ | Candidate |
| A | Hugging Face | SmolLM2 135M, 360M, 1.7B | <=1.7B | Fast training tests | ☐ | Candidate |
| B | Alibaba/Qwen | Qwen2-MoE eligible variants | Model-specific; <=3B only | Routing, shared expert, cache, weight stacking | ✅ | Architecture only; checkpoint unqualified |
| B | Hugging Face | SmolLM3 3B | 3B class | Reasoning and SFT | ☐ | Verify exact total |
| B | Liquid AI | LFM2.5 350M, 1.2B, 2.6B | 350M–2.69B | Hybrid architecture, SFT | ☐ | Candidate |
| B | Liquid AI | LFM2 / LFM2.5 other small variants | Model-specific | Hybrid conv/attention support | ☐ | Verify releases |
| B | Microsoft | Phi-2 2.7B, Phi-3-mini variants only if eligible | Model-specific | Coding/reasoning | ☐ | Verify exact count |
| B | DeepSeek | DeepSeek-Coder 1.3B; R1-Distill-Qwen-1.5B | 1.3B/1.5B | Coding/reasoning | ☐ | Candidate |
| B | BigCode | StarCoder2-3B | 3B class | Code completion | ☐ | Verify total |
| B | Google | CodeGemma 2B; Gemma 2 2B | 2B class | Code/SFT | ☐ | Candidate |
| C | Meta | OPT 125M, 350M, 1.3B, 2.7B | <=2.7B | Research and regression | ☐ | Candidate |
| C | Meta | MobileLLM small variants | <=1B family | Edge architecture | ☐ | Verify checkpoints |
| C | Apple | OpenELM 270M, 450M, 1.1B, 3B | <=3B class | On-device training | ✅ | Verify total |
| C | EleutherAI | Pythia 70M through 2.8B | <=2.8B | Reproducibility, CPT | ☐ | Candidate |
| C | OpenAI | GPT-2 124M, 355M, 774M, 1.5B | <=1.5B | Educational and parity reference | ☐ | Candidate |
| C | Z.ai | GLM-Edge-1.5B-Chat; original GLM-2B | <=2B class | Custom architecture support | ☐ | Candidate |

**Current exclusions:** NVIDIA Nemotron 3 Nano 30B-A3B and other models with more than 3B total parameters; OpenAI gpt-oss-20b/120b; larger GLM, Seed, and Llama models. Active-parameter counts do not override the total-parameter limit.

### 8.2 Vision-language — MLX-VLM

| Wave | Publisher | Candidate | Approx. size | Target capability | Architecture | Qualification |
|---|---|---|---|---|---|---|
| A | Qwen | Qwen2-VL-2B | 2B class | Image Q&A, OCR, VLM inference | ✅ | Already used in loader example; verify exact revision |
| A | Qwen | Qwen2.5-VL-3B | 3B class | OCR, document and image understanding | ☐ | Verify total, processor, training |
| A | Qwen | Qwen3.5 0.8B/2B multimodal variants | Model-specific | Image/text and optional training | ☐ | Count complete architecture |
| B | Google | PaliGemma 3B variants | 3B class | Captioning, VQA, fine-tuning | ☐ | Verify total and task interface |
| B | Hugging Face | SmolVLM 256M/500M/2.2B families | <=2.2B class | Small VLM and video/image testing | ☐ | Verify exact checkpoint |
| B | Microsoft | Phi-3.5-vision / Phi-4 multimodal variants | Often above limit | Vision/audio | ☐ | Exclude unless total <=3B |
| B | Liquid AI | LFM2.5-VL 450M/1.6B/3B families | Model-specific | Hybrid VLM support | ☐ | Count all components |
| B | Z.ai | GLM-Edge-V-2B, GLM-OCR | 2B / ~1B class | Vision and OCR | ☐ | Verify MLX implementation |
| C | ByteDance | Tar-1.5B | ~3B total reported | Specialized visual generation/understanding | ☐ | Custom backend and exact total |

Do not force image generation, image segmentation, or video diffusion into MLX-VLM merely because they involve images. They need task-specific adapters.

### 8.3 Text embeddings and retrieval — MLX-Embeddings

| Wave | Publisher | Candidate | Approx. size | Required features | Architecture | Qualification |
|---|---|---|---|---|---|---|
| A | Sentence Transformers | all-MiniLM-L6-v2, all-mpnet-base-v2 | ~23M / ~109M | Pooling, normalization, cosine | ☐ | Candidate |
| A | BAAI | bge-small/base/large-en-v1.5 | ~33M–335M | Query instructions, pooling | ☐ | Candidate |
| A | Alibaba/Qwen | Qwen3-Embedding-0.6B | 0.6B | Embedding mode, dimensions, normalization | ☐ | Candidate |
| A | Alibaba/Qwen | Qwen3-Reranker-0.6B | 0.6B | Pair scoring, reranking | ☐ | Candidate |
| B | NVIDIA | Llama-Nemotron-Embed-1B-v2 | 1B class | Encoder compatibility, retrieval | ☐ | Candidate |
| B | Perplexity | pplx-embed-v1-0.6b | 0.6B | Mean pooling, quantized embedding semantics | ☐ | Candidate |
| B | Perplexity | pplx-embed-context-v1-0.6b | 0.6B | Context-aware chunk embeddings | ☐ | Candidate |
| B | Liquid AI | LFM2/LFM2.5 ColBERT-350M family | 350M class | Multi-vector late interaction | ☐ | Candidate |
| B | Alibaba/Qwen | Qwen3-Embedding-4B/8B | >3B | Excluded from initial tier | ☐ | Excluded from initial tier |
| C | Google | EmbeddingGemma-300M | 300M class | Small multilingual retrieval | ☐ | Candidate |
| C | Mixed publishers | ModernBERT / multilingual E5 / GTE small variants | Model-specific | Encoder support and retrieval tests | ☐ | Candidate |

A late-interaction model is not interchangeable with a single-vector encoder. The API must support token-level embeddings, masking, MaxSim scoring, and suitable indexing/export metadata. A reranker is also a separate task, not just another embedding model.

### 8.4 Speech recognition, alignment, and translation — MLX-Audio

| Wave | Publisher | Candidate | Approx. size | Primary tests | Architecture | Qualification |
|---|---|---|---|---|---|---|
| A | OpenAI | Whisper tiny/base/small/medium/large-v3/turbo | ~39M–1.55B | WER/CER, language, timestamps | ☐ | Candidate |
| A | NVIDIA | Parakeet TDT 0.6B v2/v3 | 0.6B | Fast ASR, timestamps, multilingual | ☐ | Candidate |
| A | Alibaba/Qwen | Qwen3-ASR 0.6B/1.7B | 0.6B/1.7B class | Multilingual ASR | ☐ | Candidate |
| A | Alibaba/Qwen | Qwen3-ForcedAligner-0.6B | 0.6B | Word alignment | ☐ | Candidate |
| B | NVIDIA | Canary 180M/1B families | 180M–1B class | ASR and speech translation | ☐ | Candidate |
| B | Useful Sensors | Moonshine tiny/base variants | Small models | Edge ASR and latency | ☐ | Candidate |
| B | Distil-Whisper | Distil-large variants | ~0.75B class | English ASR speed/quality | ☐ | Candidate |
| B | Meta | SeamlessM4T medium/large-v2 | ~1.2B/2.3B class | Speech translation | ☐ | Candidate |
| B | Z.ai | GLM-ASR-Nano-2512 | ~2B class | ASR custom architecture | ☐ | Candidate |
| C | Liquid AI | LFM2.5-Audio-1.5B | 1.5B class | Audio-language tasks | ☐ | Candidate |
| C | Meta | Omnilingual ASR small variants | Model-specific | Language coverage | ☐ | Candidate |
| C | Mistral | Voxtral Mini 3B variants | 3B class | ASR/audio understanding | ☐ | Verify total |
| C | ByteDance | Seed speech open checkpoints | Unknown | Research only until weights/size verified | ☐ | Verify weights and size |
